"Label (Grouping)","Median gross rent"
"Arkansas County, Arkansas",""
"    Estimate","645"
"Ashley County, Arkansas",""
"    Estimate","530"
"Baxter County, Arkansas",""
"    Estimate","722"
"Benton County, Arkansas",""
"    Estimate","945"
"Boone County, Arkansas",""
"    Estimate","638"
"Bradley County, Arkansas",""
"    Estimate","565"
"Calhoun County, Arkansas",""
"    Estimate","647"
"Carroll County, Arkansas",""
"    Estimate","576"
"Chicot County, Arkansas",""
"    Estimate","568"
"Clark County, Arkansas",""
"    Estimate","600"
"Clay County, Arkansas",""
"    Estimate","625"
"Cleburne County, Arkansas",""
"    Estimate","709"
"Cleveland County, Arkansas",""
"    Estimate","618"
"Columbia County, Arkansas",""
"    Estimate","681"
"Conway County, Arkansas",""
"    Estimate","614"
"Craighead County, Arkansas",""
"    Estimate","780"
"Crawford County, Arkansas",""
"    Estimate","700"
"Crittenden County, Arkansas",""
"    Estimate","734"
"Cross County, Arkansas",""
"    Estimate","727"
"Dallas County, Arkansas",""
"    Estimate","689"
"Desha County, Arkansas",""
"    Estimate","565"
"Drew County, Arkansas",""
"    Estimate","661"
"Faulkner County, Arkansas",""
"    Estimate","819"
"Franklin County, Arkansas",""
"    Estimate","607"
"Fulton County, Arkansas",""
"    Estimate","532"
"Garland County, Arkansas",""
"    Estimate","791"
"Grant County, Arkansas",""
"    Estimate","700"
"Greene County, Arkansas",""
"    Estimate","725"
"Hempstead County, Arkansas",""
"    Estimate","681"
"Hot Spring County, Arkansas",""
"    Estimate","635"
"Howard County, Arkansas",""
"    Estimate","649"
"Independence County, Arkansas",""
"    Estimate","653"
"Izard County, Arkansas",""
"    Estimate","596"
"Jackson County, Arkansas",""
"    Estimate","552"
"Jefferson County, Arkansas",""
"    Estimate","741"
"Johnson County, Arkansas",""
"    Estimate","619"
"Lafayette County, Arkansas",""
"    Estimate","513"
"Lawrence County, Arkansas",""
"    Estimate","552"
"Lee County, Arkansas",""
"    Estimate","522"
"Lincoln County, Arkansas",""
"    Estimate","550"
"Little River County, Arkansas",""
"    Estimate","579"
"Logan County, Arkansas",""
"    Estimate","589"
"Lonoke County, Arkansas",""
"    Estimate","816"
"Madison County, Arkansas",""
"    Estimate","607"
"Marion County, Arkansas",""
"    Estimate","652"
"Miller County, Arkansas",""
"    Estimate","742"
"Mississippi County, Arkansas",""
"    Estimate","655"
"Monroe County, Arkansas",""
"    Estimate","508"
"Montgomery County, Arkansas",""
"    Estimate","551"
"Nevada County, Arkansas",""
"    Estimate","716"
"Newton County, Arkansas",""
"    Estimate","552"
"Ouachita County, Arkansas",""
"    Estimate","562"
"Perry County, Arkansas",""
"    Estimate","625"
"Phillips County, Arkansas",""
"    Estimate","573"
"Pike County, Arkansas",""
"    Estimate","622"
"Poinsett County, Arkansas",""
"    Estimate","605"
"Polk County, Arkansas",""
"    Estimate","657"
"Pope County, Arkansas",""
"    Estimate","698"
"Prairie County, Arkansas",""
"    Estimate","646"
"Pulaski County, Arkansas",""
"    Estimate","875"
"Randolph County, Arkansas",""
"    Estimate","637"
"St. Francis County, Arkansas",""
"    Estimate","688"
"Saline County, Arkansas",""
"    Estimate","835"
"Scott County, Arkansas",""
"    Estimate","619"
"Searcy County, Arkansas",""
"    Estimate","536"
"Sebastian County, Arkansas",""
"    Estimate","715"
"Sevier County, Arkansas",""
"    Estimate","601"
"Sharp County, Arkansas",""
"    Estimate","552"
"Stone County, Arkansas",""
"    Estimate","636"
"Union County, Arkansas",""
"    Estimate","707"
"Van Buren County, Arkansas",""
"    Estimate","600"
"Washington County, Arkansas",""
"    Estimate","819"
"White County, Arkansas",""
"    Estimate","692"
"Woodruff County, Arkansas",""
"    Estimate","522"
"Yell County, Arkansas",""
"    Estimate","591"